City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,port elizabeth,-33.918,25.5701,293.31,71,0,6.17,ZA,1734417693
165,fort mcmurray,56.7268,-111.381,249.88,70,100,4.63,CA,1734417695
166,puerto baquerizo moreno,-0.9,-89.6,295.65,84,63,3.38,EC,1734417696
167,cidreira,-30.1811,-50.2056,290.65,94,17,3.41,BR,1734417697
168,ribeira grande,38.5167,-28.7,291.91,81,100,10.28,PT,1734417698
169,puerto aysen,-45.4,-72.7,285.46,96,73,1.85,CL,1734417699
170,mersa matruh,31.3525,27.2453,290.26,63,40,5.14,EG,1734417700
171,camapua,-19.5314,-54.0439,294.64,69,10,1.9,BR,1734417702
172,happy valley-goose bay,53.3168,-60.3315,272.32,47,100,1.54,CA,1734417703
173,queenstown,-31.8976,26.8753,293.63,57,49,2.53,ZA,1734417704
174,nova vicosa,-17.8919,-39.3719,297.35,90,100,3.27,BR,1734417705
175,la'ie,21.6477,-157.9253,294.32,85,7,1.14,US,1734417706
176,prince rupert,54.3161,-130.3201,275.98,48,9,4.12,CA,1734417707
177,ponta delgada,37.7333,-25.6667,290.55,77,75,8.75,PT,1734417710
178,prado,-17.3411,-39.2208,297.24,90,100,2.51,BR,1734417711
179,alofi,-19.0595,-169.9187,299.09,73,20,1.54,NU,1734417712
180,vernon,50.2581,-119.2691,272.84,91,99,2.57,CA,1734417708
181,muhos,64.808,25.9931,258.87,96,16,1.7,FI,1734417714
182,nyurba,63.2842,118.3319,264.76,93,100,4.77,RU,1734417715
183,mahanoro,-19.9,48.8,302.15,59,29,2.89,MG,1734417717
184,nova sintra,14.8667,-24.7167,298.67,75,100,5.13,CV,1734417718
185,vilyuchinsk,52.9306,158.4028,272.3,81,81,5.02,RU,1734417719
186,aleksandrov gay,50.147,48.5704,273.97,97,100,8.78,RU,1734417720
187,changsha,28.2,112.9667,288.24,29,73,2.73,CN,1734417721
188,honefoss,60.168,10.2565,268.18,90,10,0.68,NO,1734417723
189,tanjung pandan,-2.75,107.65,302.39,70,99,4.6,ID,1734417724
190,chegdomyn,51.1167,133.0167,246.65,94,64,0.51,RU,1734417725
191,hami,42.8,93.45,268.04,43,100,1.47,CN,1734417726
192,belo sur tsiribihina,-19.7,44.55,306.92,53,35,1.27,MG,1734417727
